['CloudFlare DNS: 162.158.0.0/15', '52603', 'sankakucomplex.com', '162.159.241.235']
['CloudFlare DNS: 108.162.192.0/18', '52709', 'zombie-legal.com', '108.162.196.243']
['CloudFlare DNS: 162.158.0.0/15', '52728', 'imperia-of-hentai.ru', '162.159.248.80']
['CloudFlare DNS: 173.245.48.0/20', '52735', 'mdlboys.info', '173.245.61.5']
['CloudFlare DNS: 141.101.64.0/18', '52899', 'adult-liga.com', '141.101.117.126']
['CloudFlare DNS: 108.162.192.0/18', '52909', 'deep-market.org', '108.162.198.193']
['CloudFlare DNS: 108.162.192.0/18', '52910', 'poroshki.tv', '108.162.199.90']
['CloudFlare DNS: 141.101.64.0/18', '52920', 'legalcity.biz', '141.101.116.248']
['CloudFlare DNS: 108.162.192.0/18', '52923', 'kupit-legal.ru', '108.162.199.150']
['CloudFlare DNS: 108.162.192.0/18', '52966', 'semyanich.org', '108.162.202.135']
['CloudFlare DNS: 199.27.128.0/21', '53016', 'xumuk.biz', '199.27.135.15']
['CloudFlare DNS: 141.101.64.0/18', '53218', 'plru.cc', '141.101.117.33']
['CloudFlare DNS: 141.101.64.0/18', '53268', 'swimpool.info', '141.101.117.145']
['CloudFlare DNS: 199.27.128.0/21', '53271', 'xumuk.biz', '199.27.134.15']
['CloudFlare DNS: 108.162.192.0/18', '53359', 'osnova21vek.biz', '108.162.196.124']
['CloudFlare DNS: 141.101.64.0/18', '53388', 'eng.karakum.biz', '141.101.117.230']
['CloudFlare DNS: 198.41.128.0/17', '53438', 'pakasemena.com', '198.41.187.76']
['CloudFlare DNS: 108.162.192.0/18', '53444', 'goodspice.biz', '108.162.199.238']
['CloudFlare DNS: 199.27.128.0/21', '53446', 'xumuk.biz', '199.27.135.15']
['CloudFlare DNS: 108.162.192.0/18', '53456', 'zombie-legal.com', '108.162.197.243']
['CloudFlare DNS: 108.162.192.0/18', '53457', 'zakladku.com', '108.162.198.214']
['CloudFlare DNS: 162.158.0.0/15', '53551', 'chan.sankakucomplex.com', '162.159.241.235']
['CloudFlare DNS: 162.158.0.0/15', '53552', 'chan.sankakucomplex.com', '162.159.241.235']
['CloudFlare DNS: 162.158.0.0/15', '53553', 'chan.sankakucomplex.com', '162.159.241.235']
['CloudFlare DNS: 162.158.0.0/15', '53554', 'chan.sankakucomplex.com', '162.159.241.235']
['CloudFlare DNS: 162.158.0.0/15', '53555', 'chan.sankakucomplex.com', '162.159.241.235']
['CloudFlare DNS: 162.158.0.0/15', '53556', 'chan.sankakucomplex.com', '162.159.241.235']
['CloudFlare DNS: 162.158.0.0/15', '53557', 'chan.sankakucomplex.com', '162.159.241.235']
['CloudFlare DNS: 173.245.48.0/20', '53602', 'deep-market.net', '173.245.61.162']
['CloudFlare DNS: 108.162.192.0/18', '53620', 'deep-market.org', '108.162.198.193']
['CloudFlare DNS: 199.27.128.0/21', '53635', 'gramrc.org', '199.27.135.107']
['CloudFlare DNS: 173.245.48.0/20', '53640', 'legalniybiz.com', '173.245.60.98']
['CloudFlare DNS: 141.101.64.0/18', '53641', 'legal-garden.com', '141.101.116.186']
['CloudFlare DNS: 108.162.192.0/18', '53642', 'legal-formula.com', '108.162.196.87']
['CloudFlare DNS: 108.162.192.0/18', '53647', 'smokes-moscow.com', '108.162.196.178']
['CloudFlare DNS: 108.162.192.0/18', '53678', 'party-shop.cc', '108.162.196.221']
['CloudFlare DNS: 108.162.192.0/18', '53682', 'zakladku.com', '108.162.198.214']
['CloudFlare DNS: 108.162.192.0/18', '53684', 'spice74.com', '108.162.196.118']
['CloudFlare DNS: 108.162.192.0/18', '53685', 'best-powder.com', '108.162.196.103']
['CloudFlare DNS: 108.162.192.0/18', '53688', 'semyanich.biz', '108.162.207.215']
['CloudFlare DNS: 108.162.192.0/18', '53695', 'zakladku.com', '108.162.198.214']
['CloudFlare DNS: 141.101.64.0/18', '61461', 'dalian.7thstyle.com', '141.101.127.137']
['CloudFlare DNS: 108.162.192.0/18', '61466', 'doujin.moemilk.com', '108.162.199.24']
['CloudFlare DNS: 141.101.64.0/18', '61560', 'timetorest.biz', '141.101.116.225']
['CloudFlare DNS: 108.162.192.0/18', '61561', '4smoking.net', '108.162.195.104']
['CloudFlare DNS: 108.162.192.0/18', '61594', '4smoking.net', '108.162.195.104']
['CloudFlare DNS: 108.162.192.0/18', '61766', 'party-shop.cc', '108.162.197.221']
['CloudFlare DNS: 108.162.192.0/18', '61773', 'first-hand.biz', '108.162.198.227']
['CloudFlare DNS: 141.101.64.0/18', '61786', 'narkopnews.com', '141.101.116.87']
['CloudFlare DNS: 199.27.128.0/21', '61858', 'blog.asg-ru.com', '199.27.134.153']
['CloudFlare DNS: 199.27.128.0/21', '61860', 'blog.asg-ru.com', '199.27.134.153']
['CloudFlare DNS: 108.162.192.0/18', '61999', 'jwh-xxl.biz', '108.162.199.147']
['CloudFlare DNS: 108.162.192.0/18', '62079', 'kittygfs.com', '108.162.198.164']
['CloudFlare DNS: 108.162.192.0/18', '62208', 'semenarnia.com', '108.162.202.195']
['CloudFlare DNS: 108.162.192.0/18', '62620', 'party-shop.cc', '108.162.196.221']
['CloudFlare DNS: 108.162.192.0/18', '62628', '4smoking.net', '108.162.195.104']
['CloudFlare DNS: 108.162.192.0/18', '62672', 'goodspice.biz', '108.162.198.236']
['CloudFlare DNS: 108.162.192.0/18', '62940', 'zakladku.com', '108.162.198.214']
['CloudFlare DNS: 108.162.192.0/18', '63138', 'narkop.name', '108.162.196.126']
['CloudFlare DNS: 108.162.192.0/18', '63141', 'narkop.nl', '108.162.197.148']
['CloudFlare DNS: 108.162.192.0/18', '63286', 'errors-seeds.ch', '108.162.196.122']
